	total	sturm	wind	regen	wetter	witterung	schnee	kälte	hitze	wärme	wolken	frost	klima	blitz	fluth	gewitter	nebel	überschwemmung	grad_wärme	dürre	hagel	orkan	stürmen	regenguß	sonnenschein	schneefall	unwetter	bewölkter_himmel	tau	kühle	nordwind	regenwetter	grad_kälte	schönes_wetter	tauwetter	hochwasser	windstille	schneegestöber	westwind	südwind	schneesturm	ostwind	grad_frost	taifun	nachtfrost	schneemasse	niederschlag	hagelschlag	schnee_gefallen	schlechtes_wetter	regenzeit	heiterer_himmel	windstoß	kältegrad	sturmwind	schnee_bedeckt	wolkenbruch	blitzstrahl	platzregen	donnerschlag	wind_wetter	regenschauer	südwestwind	nordostwind	wetter_begünstigt	nordwind_barometer	anprall	heftiger_sturm	ungewitter	gewitterregen	schloßen	südostwind	windhose	hagelwetter	schneedecke	wirbelwind	gewölk	sonnenhitze	witterungsverhältnisse	gewitterwolke	blitzschlag	klimatische_verhältnisse	nordwestwind	brise	schneeflocken	frostwetter	frühlingswetter	windrichtung	sommerhitze	hochfluth	regentag	sturmfluth	schwemmung	schneetreiben	klimate	himmelsstrich	schneeverwehung	wasserhose	hagelkörner	winterkälte	schneewehen	seewind	naturereignis	scirocco	witterungswechsel	tornado	sonnenwärme	wärmegrad	herbstwetter	nordlichter	gewittersturm	fluthwelle	windsbraut	regenwolken	sommerwetter	strichregen	hagelschauer	landregen	wirbelsturm	winterwetter	landwind	regenfall	wetterwolken	sprühregen	seesturm	springfluth	nordweststurm	schneewetter	herbstregen	wolkenmasse	hitzegrad	wolkenschicht	wasserfluth	kalte	cyklon	sturmwetter	kahlfrost	mittagshitze	weststurm	südweststurm	staubregen	nordsturm	hagelschlossen	regenperiode	überfluthung	guß	schlackerwetter	herbstwitterung	aequinoctialsturm	gestöber	hagelsturm	hagelstücke	polarlichter	nebelwolken	reiffrost	frühlingswitterung	maiwetter	windstärke
1822	121	35	20	2	3	3	4	5	2	2	2	0	1	5	6	1	1	2	1	1	4	4	4	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1823	107	21	11	4	3	2	8	7	4	1	0	0	3	0	3	3	2	2	0	0	1	0	3	4	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	3	0	0	0	1	1	1	1	0	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1824	135	33	12	8	5	1	2	2	4	0	1	0	4	5	6	5	0	8	0	3	7	3	2	4	0	0	1	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1825	247	63	18	8	4	7	15	2	10	1	8	3	4	8	14	3	3	15	0	7	3	9	6	3	2	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	0	1	0	1	0	2	3	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1826	264	33	31	14	11	5	14	7	18	4	5	7	10	15	1	6	1	8	0	10	5	2	4	5	0	0	1	0	3	0	3	1	1	0	1	0	4	0	0	0	1	1	0	0	1	1	0	1	2	0	2	0	1	0	0	4	2	0	0	2	1	1	0	0	0	0	0	2	2	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1827	555	58	51	29	29	28	90	22	20	3	15	17	3	13	13	11	4	14	2	5	15	4	1	6	2	0	5	0	4	1	2	3	2	1	6	0	2	8	0	1	0	4	0	0	7	2	0	1	7	0	0	0	1	3	0	3	4	1	1	1	2	0	2	1	0	0	0	4	2	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1828	455	88	57	28	18	27	16	8	21	3	10	5	14	15	5	13	7	8	2	6	12	10	5	5	1	0	1	0	3	0	3	6	1	1	1	0	1	4	0	1	0	2	0	0	0	0	0	1	2	1	0	0	3	4	0	2	1	4	1	2	0	0	0	0	0	0	0	5	2	0	2	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1829	473	68	44	23	26	26	38	20	16	5	5	22	19	9	7	10	8	15	1	1	7	5	10	3	4	1	2	0	3	1	3	6	3	1	2	0	4	2	0	3	0	1	0	0	1	0	0	0	5	1	0	0	2	4	3	6	0	1	1	2	0	0	1	0	0	0	0	4	2	0	1	0	1	2	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1830	415	35	61	22	32	26	35	30	20	5	4	10	18	2	2	5	2	11	0	2	4	5	8	1	2	0	2	0	2	0	3	1	6	2	4	0	4	2	6	2	0	2	0	0	1	0	0	2	6	2	0	0	5	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1831	282	57	16	18	16	18	16	2	14	2	4	8	7	2	10	5	5	7	2	2	3	5	9	6	0	0	5	0	5	1	1	2	2	1	2	1	1	0	2	1	0	0	0	0	0	0	0	1	2	3	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	1	2	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
